userid,ts,groupid
c5d77c89-33a3-4fe3-9e31-179dec09d49c,2021-11-02T07:31:42Z,0
9061d751-7a94-44d3-8792-5ca5ec59aa89,2021-11-13T07:43:51Z,0
a5b70ae7-f07c-4773-9df4-ce112bc9dc48,2021-11-20T19:26:07Z,0
d2646662-269f-49de-aab1-8776afced9a3,2021-11-20T11:09:02Z,0
2d9b23b7-4e5e-4162-9f0f-49e593fdd2b5,2021-11-04T07:42:07Z,0
8bafcda1-2650-469a-880c-9f9557a8f8c6,2021-11-02T02:12:52Z,0
d6d51bbc-4005-4b61-86ae-a3e239235341,2021-11-20T17:32:08Z,0
b699821f-d826-46fa-b0ee-2c043b2ed63f,2021-11-04T12:35:20Z,0
7f213713-14cb-4384-9574-50419275dc6e,2021-11-02T21:48:14Z,0
8c5618b0-773d-44e0-98e3-028f1d71dc46,2021-11-02T20:50:26Z,0
88d033c9-c9cd-4ef8-ac18-f986129f8c13,2021-11-05T22:05:44Z,0
a0144c6b-ae31-4f99-b5bc-0cb7ed533464,2021-11-18T13:15:23Z,0
0b9a3a69-a98a-4a64-8e24-305fd5b0facf,2021-11-02T03:56:33Z,0
65cc7f97-ca08-4ac8-9076-8abbbea5d95d,2021-11-10T17:39:17Z,0
6889f87f-5356-4904-a35a-6ea5020011db,2021-11-18T10:28:53Z,0
eccec621-b2bb-4695-b817-5bc80e35028b,2021-11-14T09:36:21Z,0
f6698f28-e10b-4f9e-bd57-72cb31a1d857,2021-11-09T22:36:45Z,0
fdb22482-20f9-42de-95b7-2a8485c4e502,2021-11-04T13:34:14Z,0
1d8901b1-5fea-4376-8370-843363886e18,2021-11-18T14:13:24Z,0
bb1eb32a-2214-4bb5-b568-1ad24bdc8da4,2021-11-03T05:56:51Z,0
29583a4f-8d3e-4654-93b2-6e40a53d92ed,2021-11-09T16:38:26Z,0
82a48e8e-40a2-405d-8fa6-a4f5aef9a2a4,2021-11-20T18:42:07Z,0
bbec0fa8-5d3d-49bc-8b07-c0d99c2d4bfb,2021-11-03T08:35:42Z,0
82b1f3a8-57cc-4d2e-96c4-3664150f53e5,2021-11-03T03:12:40Z,0
a57546ad-6a89-4b44-8d0a-dff6fae4a53f,2021-11-14T16:02:41Z,0
25a242b2-bb13-4ad3-a9d2-64632d184a30,2021-11-14T22:03:54Z,0
a6e6ab42-52aa-417a-8a47-273cb2eec23e,2021-11-09T17:03:58Z,0
18e5f932-fd54-4999-865b-d42b3bbefbb1,2021-11-05T04:20:34Z,0
2ab366de-fcb1-4612-9caa-1293fc85add0,2021-11-11T09:28:33Z,0
5c3aa5d0-c124-4bc7-8ec4-c554af046e31,2021-11-10T07:45:21Z,0
c20ffbb0-f142-4977-99ab-288b56cc77a2,2021-11-17T15:30:12Z,0
55cb79ef-30f3-4cf2-9ed2-afe68f31a4a1,2021-11-08T13:55:41Z,0
37521f8f-544d-4680-9889-d30e978d73e4,2021-11-10T12:46:54Z,0
3cbe06f0-574c-4c7b-a92e-76335c85aca9,2021-11-18T12:26:04Z,0
71695a47-33ad-47e2-9f9a-d3de5f827c21,2021-11-19T06:14:25Z,0
d87d1a72-b4c5-4707-849e-6f3d54a0f390,2021-11-04T05:58:46Z,0
de20479d-fede-4759-a390-5577696141eb,2021-11-03T12:16:29Z,0
2614b27d-1449-4d38-8f8d-524daf95361a,2021-11-17T13:36:04Z,0
f36b2c9f-f564-4266-90e4-698099077b3d,2021-11-17T04:19:47Z,0
e1ebfb86-6821-425d-8722-0943deba08d4,2021-11-06T18:21:12Z,0
9dcc4eed-c222-4323-b2f6-d91edaba5d0e,2021-11-05T01:19:52Z,0
ae756dbe-8285-4f98-8cea-ee2f648ca7ec,2021-11-08T08:15:24Z,0
30f19a39-cc5b-499d-8057-6d86ee4ddb22,2021-11-09T16:59:15Z,0
1a6a14fb-62ae-4345-a781-cfdfa6c67242,2021-11-12T15:50:21Z,0
40992374-c58b-4004-a7b4-1aa737a4b636,2021-11-12T20:16:47Z,0
102a21da-92a6-4f1c-a348-4a4666198d57,2021-11-13T15:00:20Z,0
c868971e-e022-4a03-8f86-631855663b32,2021-11-10T20:02:54Z,0
3a1b33a2-8918-48a4-a4db-03a075d29d36,2021-11-01T03:37:13Z,0
a33e2dbf-749a-47bf-a51b-71f33fcdeaf6,2021-11-02T20:22:22Z,0
9d033a89-36da-4c9d-880f-99b254bd9ebb,2021-11-09T21:56:58Z,0
b5bf6ff3-0523-4e2d-89e9-ae92778b3cda,2021-11-10T05:57:48Z,0
8b800915-f81c-4669-8c68-c1c68ff0b86b,2021-11-19T04:55:01Z,0
190026fd-3d20-4f19-83c3-664eaf6bb56a,2021-11-02T16:02:46Z,0
e73d723c-2bcc-4eb0-b4f0-ed0f33f8648e,2021-11-18T21:34:57Z,0
1250d232-03e1-4163-9766-a824c298e06c,2021-11-13T01:05:01Z,0
eb4af814-64f1-4d9e-ab88-1e02de1f00a8,2021-11-13T07:41:25Z,0
94cc19e4-a5cb-4740-bda7-bee0746acdf5,2021-11-17T03:12:33Z,0
c3e95149-614d-4890-8233-960875b575bc,2021-11-10T19:52:18Z,0
854da16f-521a-49b9-b591-e089c1310ab4,2021-11-06T16:00:42Z,0
56631892-6e88-4d90-95f0-4d47fcc1e1bb,2021-11-20T20:22:38Z,0
2334bf28-98d1-48de-bc42-0a251078ffee,2021-11-05T20:19:56Z,0
14264fcf-9e12-4420-8d5b-820ad4462212,2021-11-06T21:50:48Z,0
fd7b3df8-b950-46f3-9e6d-0087f33053b4,2021-11-05T06:41:05Z,0
e08e4048-5377-432f-9f48-8d8bb91fb766,2021-11-13T18:21:02Z,0
0941cbf8-7396-4234-8ae6-c045a649e0f1,2021-11-01T17:11:04Z,0
ded66aba-f75f-4a3f-969e-99df4c45ec75,2021-11-11T16:52:13Z,0
c96e2323-18eb-4931-996f-5277863ab4ed,2021-11-07T02:46:22Z,0
442552d8-5b9b-489d-a54d-0e8fadfed8e4,2021-11-01T12:43:40Z,0
9e13b8e4-10c2-4329-ae83-2c1becc64577,2021-11-20T19:08:59Z,0
4f64a1b5-cd12-430c-a71f-92b1e3d7c6c7,2021-11-04T12:17:27Z,0
a4fcd500-afee-4f29-8395-15eec5508cc4,2021-11-11T19:26:11Z,0
9def4a32-c5f3-4e4b-b46a-b71e5a6b3fae,2021-11-13T20:29:03Z,0
7892d6be-0784-452a-accd-f7ccec1c9c6e,2021-11-03T15:49:14Z,0
48531421-8098-484f-908a-b2fc149e2238,2021-11-03T10:27:02Z,0
0b2bc2c9-3655-41be-8cdf-f365ac878b40,2021-11-02T05:16:13Z,0
0df77b8b-3131-449e-a099-91c2ff3cd7c6,2021-11-02T13:26:21Z,0
acc580e2-27a5-4367-b424-e65946abefb2,2021-11-02T19:54:31Z,0
5938d138-310b-405e-9714-549743c055d0,2021-11-19T01:23:17Z,0
bcaf15a8-1a6b-4ae0-ae6b-b893b7c20e46,2021-11-06T15:43:35Z,0
37bb98af-90c3-43fc-8339-bedcd0c055c3,2021-11-17T23:02:18Z,0
97aa8ab1-3777-44c0-adf3-39b1057c78db,2021-11-10T11:53:29Z,0
85a897ef-e3e3-46cb-a4f7-1c0272baaa10,2021-11-05T23:33:47Z,0
f7561e7b-34a7-400a-b702-a7c8710ca575,2021-11-05T07:55:34Z,0
cb3d7c73-4acc-45a4-bfb9-2b5503400beb,2021-11-15T15:58:17Z,0
1c94b5bd-90dd-4e7a-ad32-d940f65bcb2f,2021-11-05T04:39:35Z,0
793bd3e7-bd89-4f90-b39f-eaf11af74e05,2021-11-14T16:21:59Z,0
b433f68a-6506-4335-8f01-d8ba65f305fd,2021-11-17T06:24:42Z,0
dc9684c5-2b54-4818-bb65-3be1abf905e2,2021-11-10T21:34:51Z,0
0042f20e-11f3-4a49-8e07-f4d3eea3fb59,2021-11-14T18:17:22Z,0
abd8feb2-ff79-4ea2-9d2f-4d38f9ffc0d3,2021-11-16T04:05:47Z,0
f676425a-2a5a-4bfa-9994-78709ce25655,2021-11-17T23:12:27Z,0
061d845d-aad3-4760-bfd2-767ca5062452,2021-11-20T01:43:03Z,0
730a55e6-ad95-4d63-b0f6-192939e4c08a,2021-11-06T05:19:12Z,0
a57f1a20-0297-46ec-976b-160fb2d40c11,2021-11-02T22:44:15Z,0
1529d77b-82ce-44f7-895a-45452b31ed07,2021-11-05T14:14:43Z,0
02026069-f999-4fa1-86ba-4397ea331b16,2021-11-07T16:59:59Z,0
ef450268-ede2-4525-b15a-e3ddd42374bb,2021-11-09T12:05:46Z,0
a4ab0ab5-56b6-41b5-969e-570b4d18ea9d,2021-11-02T13:10:49Z,0
75ba4037-c500-4c75-8f02-0119769283b5,2021-11-11T13:53:08Z,0
70e43bbf-7ddc-47bd-8274-4526ecf75a89,2021-11-04T09:45:49Z,0
39b734f4-05c6-4b5d-986d-428608b8ccfa,2021-11-02T04:29:38Z,0
e6fc18f0-2224-4adc-9daf-ad768869c36d,2021-11-20T13:58:14Z,0
8c208561-dda1-4754-a7b7-a5e515e9c29c,2021-11-15T16:17:57Z,0
bba9b2fa-8453-49a1-986a-f32b37f03a44,2021-11-11T16:11:35Z,0
4e57da28-7286-4642-8e64-00e492e344e1,2021-11-06T02:24:42Z,0
9878a582-8380-4663-93bb-b529d024db71,2021-11-04T19:07:04Z,0
ed73be85-a72f-4667-b6a6-24177b9255ad,2021-11-14T03:57:21Z,0
5af93a92-5524-4c01-a0a3-84e682e6421d,2021-11-17T20:36:12Z,0
af495551-1cda-48df-a29b-968bfef0ee70,2021-11-16T17:58:35Z,0
249771d2-cbe8-4a48-8b68-2e1dfa4da948,2021-11-12T22:15:03Z,0
9f22cbfc-e8f2-47ff-a91f-df9fe5715b2e,2021-11-16T19:06:32Z,0
51fe830d-4bd7-4d1a-b3de-9cc6063769d5,2021-11-12T10:56:31Z,0
4bf9bc9d-ccab-4d8a-bd05-4d2fd1a81615,2021-11-20T14:22:47Z,0
f2e229aa-5927-4793-9a8e-4c32ae9b5df5,2021-11-17T03:43:13Z,0
6ba53030-9b6e-4218-8350-23393775bf51,2021-11-13T11:24:18Z,0
5992b1f4-82d9-4343-b07d-0d8841e8483a,2021-11-08T10:54:04Z,0
4c8aacf0-7472-44b0-99f8-c7c6c424b6fd,2021-11-14T20:40:06Z,0
752cef17-c89d-4659-9b08-6f7409a19217,2021-11-01T14:01:55Z,0
638b4909-1d08-4f16-9dfb-32530f998d1f,2021-11-09T22:46:32Z,0
61faa842-e029-4340-a453-53e9e85a1ed0,2021-11-19T03:52:40Z,0
79e23af7-2e8c-47bc-9c0c-3cd3cc7430e5,2021-11-06T03:50:45Z,0
a05a09d1-d570-47f1-b0c7-7008fc0700b7,2021-11-11T11:50:23Z,0
393ad83b-f9de-4815-b712-c96014626342,2021-11-15T00:17:53Z,0
a77c37eb-5fc6-4d25-a86a-dd385092b4b4,2021-11-02T03:52:17Z,0
3b583432-54db-43e0-b4b9-ee56b09481cb,2021-11-15T21:36:59Z,0
f2fa4a15-07e5-43c3-833a-e45d1934f4c9,2021-11-19T18:37:54Z,0
6d35f7d3-df54-4d57-8273-3593d663fc59,2021-11-02T19:26:22Z,0
79467a3c-0319-49ed-bf7b-3895bcf4140f,2021-11-01T02:05:53Z,0
ae9b34a9-ab97-42be-b7a6-70380aab4392,2021-11-04T15:53:36Z,0
7beda7a2-af57-4da6-8c89-8e252dac5256,2021-11-04T01:27:51Z,0
12179719-d4de-49a4-b75d-ddc04f506144,2021-11-13T03:29:05Z,0
229fa3b8-dc6c-4eb8-823c-f1a1af6580da,2021-11-10T04:52:15Z,0
12074696-7bf9-4a33-bfd6-14ab8e855898,2021-11-20T11:19:10Z,0
d149d9ac-bdfb-4df5-a909-411db53c980f,2021-11-14T02:17:13Z,0
d4783267-9e99-4c91-a941-91f4b184c95c,2021-11-09T13:12:18Z,0
7acc8ba4-65f7-45b3-96df-e5eeea1a9bd6,2021-11-19T23:31:47Z,0
27f9ec3c-37bf-459a-b94b-f2aff84cd96f,2021-11-14T19:29:25Z,0
ac9f7d70-ec5d-444f-877f-a1fdb162eaac,2021-11-07T21:09:03Z,0
95e6814e-f0ea-4934-bef8-04a9c5486fb1,2021-11-20T23:53:43Z,0
6d03227a-5351-4302-89bb-6bf5ab4e6830,2021-11-17T15:22:02Z,0
ea15af8a-f86e-43ff-be25-03568c20bb27,2021-11-10T18:45:54Z,0
